文件绝对路径,求解结果(kissat),求解结果(neurobranch),求解总时间(kissat),求解总时间(neurobranch),decision时间(kissat),decision时间(neurobranch),剩余时间(kissat),剩余时间(neurobranch),decision次数(kissat),decision次数(neurobranch),conflict次数(kissat),conflict次数(neurobranch)
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_77.cnf,SAT,SAT,17.72,140773.45,0.04,140751.52,17.69,21.93,1219,1288,1033,1081
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_811.cnf,SAT,SAT,18.62,154828.29,0.04,154805.30,18.58,22.99,1311,1415,1138,1202
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_832.cnf,SAT,SAT,19.85,201181.47,0.07,201157.10,19.78,24.37,1983,1830,1395,1235
/home/richard/project/SAT_benchmark/SATLIB/CBS_k3_n100_m449_b90/CBS_k3_n100_m449_b90_887.cnf,SAT,SAT,15.07,205133.98,0.05,205111.92,15.02,22.06,1571,1790,1106,1286
/home/richard/project/SAT_benchmark/SATLIB/RTI_k3_n100_m429/RTI_k3_n100_m429_100.cnf,SAT,SAT,12.14,174885.11,0.04,174867.51,12.10,17.60,1289,1592,1019,1274
/home/richard/project/SAT_benchmark/SATLIB/RTI_k3_n100_m429/RTI_k3_n100_m429_118.cnf,SAT,SAT,13.91,183329.80,0.04,183310.74,13.87,19.07,1331,1678,1113,1379
/home/richard/project/SAT_benchmark/SATLIB/RTI_k3_n100_m429/RTI_k3_n100_m429_189.cnf,SAT,SAT,12.40,167462.78,0.05,167445.91,12.35,16.86,1607,1521,1193,1097
/home/richard/project/SAT_benchmark/SATLIB/RTI_k3_n100_m429/RTI_k3_n100_m429_239.cnf,SAT,SAT,12.22,170053.24,0.04,170036.06,12.19,17.18,1371,1554,1042,1196
/home/richard/project/SAT_benchmark/SATLIB/RTI_k3_n100_m429/RTI_k3_n100_m429_263.cnf,SAT,SAT,13.34,152392.91,0.05,152375.79,13.29,17.12,1637,1397,1309,1080
/home/richard/project/SAT_benchmark/SATLIB/RTI_k3_n100_m429/RTI_k3_n100_m429_327.cnf,SAT,SAT,13.14,173137.95,0.06,173120.73,13.09,17.23,1714,1587,1405,1228
/home/richard/project/SAT_benchmark/SATLIB/RTI_k3_n100_m429/RTI_k3_n100_m429_478.cnf,SAT,SAT,13.33,181704.86,0.04,181685.59,13.29,19.27,1339,1662,1134,1363
/home/richard/project/SAT_benchmark/SATLIB/RTI_k3_n100_m429/RTI_k3_n100_m429_71.cnf,SAT,SAT,14.72,210682.39,0.05,210660.62,14.68,21.77,1397,1923,1223,1607
